County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Lincoln,0.78,0.22,1835.00,662.00,3074.00,0.75,0.24,1757.00,620.00,3163.00,0.74,0.24,1413.00,411.00,2385.00,0.78,0.17,1682.00,397.00,2740.00,0.81,0.18,1792.00,337.00,3046.00
Logan,0.70,0.28,5604.00,2853.00,11727.00,0.67,0.32,5697.00,2600.00,11806.00,0.68,0.30,5111.00,1856.00,9588.00,0.75,0.19,5845.00,1869.00,11320.00,0.77,0.21,6254.00,1604.00,12114.00
Mesa,0.67,0.32,38137.00,20052.00,85543.00,0.64,0.34,40702.00,20815.00,93612.00,0.65,0.33,36052.00,16086.00,78178.00,0.64,0.28,40162.00,17743.00,90078.00,0.63,0.35,42853.00,18013.00,104644.00
Mineral,0.62,0.37,255.00,423.00,806.00,0.54,0.43,242.00,369.00,759.00,0.53,0.45,262.00,324.00,707.00,0.53,0.36,327.00,265.00,735.00,0.56,0.42,311.00,239.00,824.00
Moffat,0.74,0.24,4740.00,1764.00,8749.00,0.70,0.27,4349.00,1432.00,8517.00,0.76,0.22,3786.00,818.00,6311.00,0.81,0.13,4247.00,842.00,7374.00,0.81,0.17,4342.00,711.00,8341.00
Montezuma,0.63,0.35,7506.00,4834.00,17236.00,0.59,0.39,7429.00,4577.00,17073.00,0.60,0.37,6603.00,3072.00,13449.00,0.61,0.31,7418.00,3639.00,15948.00,0.60,0.38,7833.00,3647.00,18324.00
Montrose,0.69,0.29,10539.00,5084.00,22799.00,0.64,0.34,11128.00,4962.00,24695.00,0.68,0.31,10205.00,4060.00,21058.00,0.68,0.26,11739.00,4554.00,24525.00,0.67,0.31,12842.00,4654.00,28430.00
Morgan,0.68,0.31,6841.00,3786.00,15255.00,0.61,0.37,6213.00,3430.00,14006.00,0.62,0.36,5280.00,2663.00,11547.00,0.68,0.26,6292.00,2894.00,14296.00,0.70,0.28,6991.00,2974.00,16733.00
Otero,0.60,0.39,4315.00,4631.00,12491.00,0.54,0.44,4021.00,4321.00,11770.00,0.54,0.45,3462.00,3027.00,8673.00,0.58,0.35,3879.00,3399.00,10492.00,0.60,0.38,4237.00,3305.00,11826.00
Ouray,0.52,0.47,1986.00,837.00,3693.00,0.45,0.53,1705.00,1058.00,3913.00,0.46,0.52,1325.00,929.00,3307.00,0.41,0.51,1309.00,1160.00,3773.00,0.39,0.59,1224.00,1253.00,4409.00
